Y1 Y2 Solution1 Solution2 Run Gen Vector
1.36481559696916 1.73993719836284 000001cd000000d800000333000001b9000000e40000025c000001d60000001d0000011c0000016b 000001cd000000d800000333000001b9000000e40000025c000001d60000001d0000011c0000016b 1 0 V1
1.36481559696916 1.73993719836284 000001cd000000d800000333000001b9000000e40000025c000001d60000001d0000011c0000016b 000001ee0000034d00000360000003b10000010300000229000000540000024d000001db000001e6 1 0 V2
1.36481559696916 1.73993719836284 000001cd000000d800000333000001b9000000e40000025c000001d60000001d0000011c0000016b 000001ee0000034d00000360000003b10000010300000229000000540000024d000001db000001e6 1 0 V3
1.99756923411379 1.12468829312611 0000023d00000391000002fe000002ee000000a700000206000000a3000001b10000013700000197 000001ee0000034d00000360000003b10000010300000229000000540000024d000001db000001e6 1 0 V4
3.35306670517091 1.31362080365903 0000037c00000218000002dc000002a8000002e9000002b20000001f00000366000001570000023f 0000023d00000391000002fe000002ee000000a700000206000000a3000001b10000013700000197 1 0 V5
1.36481559696916 1.73993719836284 000001cd000000d800000333000001b9000000e40000025c000001d60000001d0000011c0000016b 000001cd000000d800000333000001b9000000e40000025c000001d60000001d0000011c0000016b 1 1 V1
1.47781866707265 1.70569790753381 000001ee0000034d00000360000003b10000010300000229000000540000024d000001db000001e6 0000020d000003e8000001ea000003a700000055000000b40000020e00000088000001cc000000ff 1 1 V2
1.47781866707265 1.70569790753381 000001ee0000034d00000360000003b10000010300000229000000540000024d000001db000001e6 0000020d000003e8000001ea000003a700000055000000b40000020e00000088000001cc000000ff 1 1 V3
1.47781866707265 1.70569790753381 000001ee0000034d00000360000003b10000010300000229000000540000024d000001db000001e6 000001ee0000029c000001400000013b0000023e0000034400000240000001c90000028400000093 1 1 V4
1.99756923411379 1.12468829312611 0000023d00000391000002fe000002ee000000a700000206000000a3000001b10000013700000197 000002540000021100000000000001a7000002c0000001ff000001c500000353000000bf0000017a 1 1 V5
1.36481559696916 1.73993719836284 000001cd000000d800000333000001b9000000e40000025c000001d60000001d0000011c0000016b 000001c5000000000000032f00000177000000c0000002b2000001d800000000000000d10000012d 1 2 V1
1.47833250091337 1.57887318996816 0000020d000003e8000001ea000003a700000055000000b40000020e00000088000001cc000000ff 000001ee000002970000015c000001650000024d0000032200000266000001d90000026d000000a9 1 2 V2
1.47833250091337 1.57887318996816 0000020d000003e8000001ea000003a700000055000000b40000020e00000088000001cc000000ff 000001ee000002970000015c000001650000024d0000032200000266000001d90000026d000000a9 1 2 V3
2.0321375009219 1.51248046410496 000001ee0000029c000001400000013b0000023e0000034400000240000001c90000028400000093 000001ee000002970000015c000001650000024d0000032200000266000001d90000026d000000a9 1 2 V4
2.31665741396281 1.34886263934413 000002540000021100000000000001a7000002c0000001ff000001c500000353000000bf0000017a 00000210000002d1000000a20000023e000001f90000015c000002730000018a00000104000002ec 1 2 V5
1.30761545854562 2.17866025015479 000001c5000000000000032f00000177000000c0000002b2000001d800000000000000d10000012d NANANANANANANANANANA 1 3 V1
1.46177674375095 1.44684132210042 000001ee000002970000015c000001650000024d0000032200000266000001d90000026d000000a9 NANANANANANANANANANA 1 3 V2
1.46177674375095 1.44684132210042 000001ee000002970000015c000001650000024d0000032200000266000001d90000026d000000a9 NANANANANANANANANANA 1 3 V3
1.46177674375095 1.44684132210042 000001ee000002970000015c000001650000024d0000032200000266000001d90000026d000000a9 NANANANANANANANANANA 1 3 V4
2.04376381922951 1.0271232708274 00000210000002d1000000a20000023e000001f90000015c000002730000018a00000104000002ec NANANANANANANANANANA 1 3 V5
NA NA NANANANANANANANANANA NANANANANANANANANANA NA 4 V1
NA NA NANANANANANANANANANA NANANANANANANANANANA NA 4 V2
NA NA NANANANANANANANANANA NANANANANANANANANANA NA 4 V3
NA NA NANANANANANANANANANA NANANANANANANANANANA NA 4 V4
NA NA NANANANANANANANANANA NANANANANANANANANANA NA 4 V5
NA NA NANANANANANANANANANA 00000170000003e800000356000003e80000000f000000820000005d00000245000000a800000095 NA 5 V1
NA NA NANANANANANANANANANA 000001e000000301000003ac00000179000000f500000097000001d80000006100000177000000f5 NA 5 V2
NA NA NANANANANANANANANANA 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb NA 5 V3
NA NA NANANANANANANANANANA 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb NA 5 V4
NA NA NANANANANANANANANANA 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb NA 5 V5
0.943598210263349 2.21158410444308 00000170000003e800000356000003e80000000f000000820000005d00000245000000a800000095 00000170000003e800000356000003e80000000f000000820000005d00000245000000a800000095 1 6 V1
1.26713653477822 1.32157020139519 000001e000000301000003ac00000179000000f500000097000001d80000006100000177000000f5 000001e000000301000003ac00000179000000f500000097000001d80000006100000177000000f5 1 6 V2
1.2981226599627 0.933709251924493 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 1 6 V3
1.2981226599627 0.933709251924493 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 1 6 V4
1.2981226599627 0.933709251924493 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 1 6 V5
0.943598210263349 2.21158410444308 00000170000003e800000356000003e80000000f000000820000005d00000245000000a800000095 00000170000003e800000356000003e80000000f000000820000005d00000245000000a800000095 1 7 V1
1.26713653477822 1.32157020139519 000001e000000301000003ac00000179000000f500000097000001d80000006100000177000000f5 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 1 7 V2
1.2981226599627 0.933709251924493 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 000001fe000003e80000031f00000342000001d100000151000000000000013d000001d5000000fb 1 7 V3
